source,case,arm,layout,width,fraction_bits,degree,reductions,status,deterministic_upper,ae_size,a_calls,conservative_cx,control_cancelled_cx,a_qubits,total_qubits
primary,D1,range_reduced,retained,48,20,16,1,ideal_plan,0.10284635108349114443883840826042323529728711388890638606420879918146825039480146,1024,34799,6262035016813,731374761583,2371,4750
primary,D1,range_reduced,reused,48,20,16,1,ideal_plan,0.10284635108349114443883840826042323529728711388890638606420879918146825039480146,1024,34799,6261934635961,731274380731,1409,2826
primary,D1,range_reduced,retained,48,20,16,2,ideal_plan,0.10403713012443538470032417809061686937510587894265125182249548444860078494285735,1024,34799,6884189696173,804011683759,2467,4942
primary,D1,range_reduced,reused,48,20,16,2,ideal_plan,0.10403713012443538470032417809061686937510587894265125182249548444860078494285735,1024,34799,6884084306713,803906294299,1457,2922
primary,D1,range_reduced,retained,48,20,16,3,ideal_plan,0.10673621469710480186338078316932758101433541940369513499276425846073937056473362,1024,34799,7506344375533,876648605935,2563,5134
primary,D1,range_reduced,reused,48,20,16,3,ideal_plan,0.10673621469710480186338078316932758101433541940369513499276425846073937056473362,1024,34799,7506233977465,876538207867,1505,3018
primary,D1,range_reduced,retained,40,24,8,1,ideal_plan,0.098950170601786765073854711791138355628571100887511561796237806174327682051843057,1024,34799,3929360548005,459019853943,1927,3862
primary,D1,range_reduced,reused,40,24,8,1,ideal_plan,0.098950170601786765073854711791138355628571100887511561796237806174327682051843057,1024,34799,3929281036353,458940342291,1165,2338
primary,D1,range_reduced,retained,40,24,8,2,ideal_plan,0.099022421881765286909906833466096411403811672186020336144099712544849098418443870,1024,34799,4362337663365,509573053143,2007,4022
primary,D1,range_reduced,reused,40,24,8,2,ideal_plan,0.099022421881765286909906833466096411403811672186020336144099712544849098418443870,1024,34799,4362253977873,509489367651,1205,2418
primary,D1,range_reduced,retained,40,24,8,3,ideal_plan,0.099191098566362261110259039404496628880366432531001541253350331832879673368797831,1024,34799,4795314778725,560126252343,2087,4182
primary,D1,range_reduced,reused,40,24,8,3,ideal_plan,0.099191098566362261110259039404496628880366432531001541253350331832879673368797831,1024,34799,4795226919393,560038393011,1245,2498
primary,D1,range_reduced,retained,40,24,12,1,ideal_plan,0.098948149539093686629342507149572116679654167667893994272723504091075096755274817,1024,34799,4797992866789,560438051383,2087,4182
primary,D1,range_reduced,reused,40,24,12,1,ideal_plan,0.098948149539093686629342507149572116679654167667893994272723504091075096755274817,1024,34799,4797905007457,560350192051,1245,2498
primary,D1,range_reduced,retained,40,24,12,2,ideal_plan,0.099022414322786074917935566933958051727293487298136111607127769813676236031336749,1024,34799,5230969982149,610991250583,2167,4342
primary,D1,range_reduced,reused,40,24,12,2,ideal_plan,0.099022414322786074917935566933958051727293487298136111607127769813676236031336749,1024,34799,5230877948977,610899217411,1285,2578
primary,D1,range_reduced,retained,40,24,12,3,ideal_plan,0.099191098539671326327798660980192567367808969337912135903368032206694049913711206,1024,34799,5663947097509,661544449783,2247,4502
