pt_idx,S0,K,T,r,sigma,ref_source,p,sim_price,ref_price,delta,oracle_queries
25,90.0,90.0,1.0,0.05,0.15,grid,0.005,6.8946436729389955,7.836530881467055,0.9418872085280592,13
25,90.0,90.0,1.0,0.05,0.15,grid,0.01,10.542498879070658,7.836530881467055,2.7059679976036035,17
26,100.0,105.0,2.0,0.05,0.3,grid,0,18.06704691890685,18.55337813329042,0.4863312143835685,15
26,100.0,105.0,2.0,0.05,0.3,grid,0.0001,19.17203360060893,18.55337813329042,0.6186554673185114,15
26,100.0,105.0,2.0,0.05,0.3,grid,0.001,18.15286403491456,18.55337813329042,0.40051409837585794,13
26,100.0,105.0,2.0,0.05,0.3,grid,0.005,31.333304875403655,18.55337813329042,12.779926742113236,17
26,100.0,105.0,2.0,0.05,0.3,grid,0.01,26.968694044519776,18.55337813329042,8.415315911229357,15
27,90.0,90.0,0.75,0.05,0.15,grid,0,6.647663168050722,6.587165911780536,0.060497256270186206,15
27,90.0,90.0,0.75,0.05,0.15,grid,0.0001,6.493496546588354,6.587165911780536,0.0936693651921825,13
27,90.0,90.0,0.75,0.05,0.15,grid,0.001,6.808026381430671,6.587165911780536,0.22086046965013484,15
27,90.0,90.0,0.75,0.05,0.15,grid,0.005,8.591185266127527,6.587165911780536,2.0040193543469904,17
27,90.0,90.0,0.75,0.05,0.15,grid,0.01,7.475883445022897,6.587165911780536,0.8887175332423611,15
28,90.0,100.0,2.0,0.05,0.2,grid,0,10.891343508035325,10.418693021074253,0.47265048696107215,13
28,90.0,100.0,2.0,0.05,0.2,grid,0.0001,10.809513354115923,10.418693021074253,0.3908203330416704,15
28,90.0,100.0,2.0,0.05,0.2,grid,0.001,11.761825972958615,10.418693021074253,1.3431329518843622,15
28,90.0,100.0,2.0,0.05,0.2,grid,0.005,14.07299526478659,10.418693021074253,3.654302243712337,15
28,90.0,100.0,2.0,0.05,0.2,grid,0.01,15.152176551659759,10.418693021074253,4.733483530585506,15
29,100.0,105.0,1.5,0.05,0.3,grid,0,15.318864671981814,15.51120071574294,0.19233604376112545,13
29,100.0,105.0,1.5,0.05,0.3,grid,0.0001,15.706551227930552,15.51120071574294,0.19535051218761268,15
29,100.0,105.0,1.5,0.05,0.3,grid,0.001,17.668642637955298,15.51120071574294,2.1574419222123584,15
29,100.0,105.0,1.5,0.05,0.3,grid,0.005,20.4971348129854,15.51120071574294,4.9859340972424615,15
29,100.0,105.0,1.5,0.05,0.3,grid,0.01,26.914738153455616,15.51120071574294,11.403537437712677,17
30,80.0,95.0,2.0,0.05,0.25,grid,0,8.705229112253255,9.207759276688485,0.50253016443523,13
30,80.0,95.0,2.0,0.05,0.25,grid,0.0001,9.379870750341423,9.207759276688485,0.17211147365293833,13
30,80.0,95.0,2.0,0.05,0.25,grid,0.001,9.739831717122522,9.207759276688485,0.5320724404340371,13
30,80.0,95.0,2.0,0.05,0.25,grid,0.005,14.37292134428041,9.207759276688485,5.165162067591925,15
30,80.0,95.0,2.0,0.05,0.25,grid,0.01,15.485418196777838,9.207759276688485,6.277658920089353,15
31,110.0,90.0,1.5,0.05,0.15,grid,0,26.890527768850287,26.852733367993608,0.03779440085667929,19
31,110.0,90.0,1.5,0.05,0.15,grid,0.0001,26.942844124854417,26.852733367993608,0.09011075686080972,7
31,110.0,90.0,1.5,0.05,0.15,grid,0.001,24.995108925744386,26.852733367993608,1.8576244422492216,17
31,110.0,90.0,1.5,0.05,0.15,grid,0.005,38.9602334529185,26.852733367993608,12.107500084924894,11
31,110.0,90.0,1.5,0.05,0.15,grid,0.01,42.19694999043602,26.852733367993608,15.34421662244241,11
32,80.0,100.0,0.5,0.05,0.25,grid,0,1.1638837032286173,1.1573628604477784,0.006520842780838976,11
32,80.0,100.0,0.5,0.05,0.25,grid,0.0001,1.2753489507156013,1.1573628604477784,0.11798609026782292,11
32,80.0,100.0,0.5,0.05,0.25,grid,0.001,0.5529428827138755,1.1573628604477784,0.6044199777339029,17
32,80.0,100.0,0.5,0.05,0.25,grid,0.005,3.038483283146496,1.1573628604477784,1.8811204226987175,13
32,80.0,100.0,0.5,0.05,0.25,grid,0.01,3.4446252292230413,1.1573628604477784,2.287262368775263,13
33,100.0,110.0,1.5,0.05,0.25,grid,0,11.91648214990154,11.826130270880677,0.09035187902086328,15
33,100.0,110.0,1.5,0.05,0.25,grid,0.0001,11.562683350049676,11.826130270880677,0.26344692083100085,13
33,100.0,110.0,1.5,0.05,0.25,grid,0.001,11.502520164487914,11.826130270880677,0.32361010639276344,13
33,100.0,110.0,1.5,0.05,0.25,grid,0.005,12.879792053914043,11.826130270880677,1.053661783033366,13
33,100.0,110.0,1.5,0.05,0.25,grid,0.01,17.28491499338089,11.826130270880677,5.458784722500214,15
34,100.0,110.0,0.25,0.05,0.3,grid,0,3.0098178901507855,3.0528891223481938,0.04307123219740827,13
34,100.0,110.0,0.25,0.05,0.3,grid,0.0001,3.0129181674366743,3.0528891223481938,0.039970954911519474,11
34,100.0,110.0,0.25,0.05,0.3,grid,0.001,2.67763371635067,3.0528891223481938,0.3752554059975237,11
34,100.0,110.0,0.25,0.05,0.3,grid,0.005,4.450585911922397,3.0528891223481938,1.3976967895742036,13
34,100.0,110.0,0.25,0.05,0.3,grid,0.01,7.063770981762317,3.0528891223481938,4.010881859414123,15
35,90.0,110.0,2.0,0.05,0.3,grid,0,11.596076302823493,11.513055608342764,0.08302069448072835,11
35,90.0,110.0,2.0,0.05,0.3,grid,0.0001,11.195420680913365,11.513055608342764,0.317634927429399,13
35,90.0,110.0,2.0,0.05,0.3,grid,0.001,12.390855892578724,11.513055608342764,0.8778002842359598,13
35,90.0,110.0,2.0,0.05,0.3,grid,0.005,15.117427575795066,11.513055608342764,3.604371967452302,13
35,90.0,110.0,2.0,0.05,0.3,grid,0.01,20.94174369228993,11.513055608342764,9.428688083947165,15
36,120.0,100.0,0.5,0.05,0.3,grid,0,24.186445415960076,24.87288593555876,0.6864405195986834,17
36,120.0,100.0,0.5,0.05,0.3,grid,0.0001,24.3162511314468,24.87288593555876,0.5566348041119582,7
36,120.0,100.0,0.5,0.05,0.3,grid,0.001,25.36242542308243,24.87288593555876,0.4895394875236718,19
36,120.0,100.0,0.5,0.05,0.3,grid,0.005,37.170960173825165,24.87288593555876,12.298074238266405,7
36,120.0,100.0,0.5,0.05,0.3,grid,0.01,43.39892605817178,24.87288593555876,18.526040122613022,7
37,110.0,110.0,0.25,0.05,0.2,grid,0,5.337538681123843,5.399079347379988,0.06154066625614529,15
37,110.0,110.0,0.25,0.05,0.2,grid,0.0001,5.365311142437557,5.399079347379988,0.03376820494243127,15
37,110.0,110.0,0.25,0.05,0.2,grid,0.001,5.437830419165343,5.399079347379988,0.038751071785354974,13
37,110.0,110.0,0.25,0.05,0.2,grid,0.005,6.324899829661773,5.399079347379988,0.925820482281785,15
37,110.0,110.0,0.25,0.05,0.2,grid,0.01,6.657658106610334,5.399079347379988,1.2585787592303461,15
38,120.0,100.0,2.0,0.05,0.2,grid,0,32.801305287026544,32.32409473362751,0.47721055339903273,19
38,120.0,100.0,2.0,0.05,0.2,grid,0.0001,31.886350700345055,32.32409473362751,0.43774403328245626,17
38,120.0,100.0,2.0,0.05,0.2,grid,0.001,33.68442328340514,32.32409473362751,1.360328549777627,19
38,120.0,100.0,2.0,0.05,0.2,grid,0.005,32.14619599729455,32.32409473362751,0.17789873633296338,17
38,120.0,100.0,2.0,0.05,0.2,grid,0.01,26.79817110734019,32.32409473362751,5.525923626287323,15
39,80.0,105.0,2.0,0.05,0.2,grid,0,3.9246233084652946,4.289842400805126,0.3652190923398315,11
39,80.0,105.0,2.0,0.05,0.2,grid,0.0001,4.638161606742198,4.289842400805126,0.3483192059370719,15
39,80.0,105.0,2.0,0.05,0.2,grid,0.001,5.478350586811076,4.289842400805126,1.1885081860059499,13
39,80.0,105.0,2.0,0.05,0.2,grid,0.005,9.717828790898535,4.289842400805126,5.427986390093409,15
39,80.0,105.0,2.0,0.05,0.2,grid,0.01,10.384724488866384,4.289842400805126,6.094882088061258,15
40,110.0,90.0,1.0,0.05,0.25,grid,0,26.563939732778607,26.759291335261178,0.195351602482571,17
40,110.0,90.0,1.0,0.05,0.25,grid,0.0001,26.67477476254538,26.759291335261178,0.08451657271579904,15
40,110.0,90.0,1.0,0.05,0.25,grid,0.001,26.228750327533614,26.759291335261178,0.5305410077275639,17
40,110.0,90.0,1.0,0.05,0.25,grid,0.005,25.75445529934516,26.759291335261178,1.0048360359160178,17
40,110.0,90.0,1.0,0.05,0.25,grid,0.01,45.92439158952954,26.759291335261178,19.165100254268363,7
41,80.0,95.0,0.25,0.05,0.25,grid,0,0.6129149362818544,0.6290625074009193,0.01614757111906484,19
41,80.0,95.0,0.25,0.05,0.25,grid,0.0001,0.6062568014069731,0.6290625074009193,0.022805705993946157,19
41,80.0,95.0,0.25,0.05,0.25,grid,0.001,0.636976680685637,0.6290625074009193,0.007914173284717663,11
41,80.0,95.0,0.25,0.05,0.25,grid,0.005,0.679507643317166,0.6290625074009193,0.050445135916246664,19
